Extension,Result,Assumption,AppName,AppPath,DdeExec,SysFileAssoc,WinFileAssoc,HKCU_SwCls,HKLU_has,User_Choice,User_ChoiceExec,User_ChoiceToast,User_CntProgids,User_ProgidOne,User_ProgidOneExec,User_ProgidOneToast,User_ProgIdsValid,User_ProgIdsValid2,User_CntList,User_ValidList,Root_Default,Root_DefaultExec,Root_DefaultToast,Root_CntProgids,Root_ProgidsValid,Root_ProgidOne,Root_ProgidOneExec,Root_ProgidOneToast,Root_CountList,Root_ListIsValid,Root_PersistentHandler,Root_ContentType,Root_PerceivedType
.cdx,,openwith2,,,,,,,False,,False,False,0,,False,False,True,False,,True,aspfile,False,False,0,True,,False,False,0,True,,,
.cdxml,,exec3,Notepad,C:\Windows\system32\NOTEPAD.EXE %1,,,,,True,,False,False,1,Microsoft.PowerShellCmdletDefinitionXML.1,False,True,True,False,NOTEPAD.EXE,False,Microsoft.PowerShellCmdletDefinitionXML.1,False,True,0,True,,False,False,0,True,,,Text
.cer,,exec3,Crypto Shell Extensions,"C:\Windows\system32\rundll32.exe cryptext.dll,CryptExtOpenCER %1",,,,,False,,False,False,0,,False,False,True,False,,True,CERFile,True,False,0,True,,False,False,0,True,,application/x-x509-ca-cert,
.cgm,,openwith1,Pick an app,"C:\Windows\system32\OpenWith.exe ""%1""",,,,,False,,False,False,0,,False,False,True,False,,True,,False,False,0,True,,False,False,0,True,{098f2470-bae0-11cd-b579-08002b30bfeb},,
.chk,,openwith2,,,,,,,False,,False,False,0,,False,False,True,False,,True,chkfile,False,False,0,True,,False,False,0,True,,,system
.chm,,exec3,Microsoft® HTML Help Executable,"""C:\Windows\hh.exe"" %1",,,,,True,,False,False,1,chm.file,True,True,True,False,0,True,chm.file,True,True,0,True,,False,False,0,True,,,
.cls,,openwith1,Pick an app,"C:\Windows\system32\OpenWith.exe ""%1""",,,,,False,,False,False,0,,False,False,True,False,,True,,False,False,0,True,,False,False,0,True,{5e941d80-bf96-11cd-b579-08002b30bfeb},,
.cmd,,exec2,,"""%1"" %*",,,,,False,,False,False,0,,False,False,True,False,,True,cmdfile,True,False,0,True,,False,False,0,True,{5e941d80-bf96-11cd-b579-08002b30bfeb},,
.cod,,exec3,Microsoft Visual Studio 2022,"""C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\IDE\devenv.exe"" /dde","Open(""%1"")",,,,False,,False,False,0,,False,False,True,False,,True,,False,False,1,False,VisualStudio.cod.f12b09fd,True,False,0,True,{098f2470-bae0-11cd-b579-08002b30bfeb},text/plain,text
.coffee,exec,exec3,Microsoft Visual Studio 2022,"""C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\IDE\devenv.exe"" /dde","Open(""%1"")",,,,True,,False,False,0,,False,False,True,False,devenv.exe,False,,False,False,1,True,VisualStudio.coffee.f12b09fd,True,True,0,True,,,
.com,,exec2,,"""%1"" %*",,,,,False,,False,False,0,,False,False,True,False,,True,comfile,True,False,0,True,,False,False,0,True,{098f2470-bae0-11cd-b579-08002b30bfeb},,
.compositefont,,exec3,Notepad,"""C:\Windows\System32\notepad.exe"" ""%1""",,,,,False,,False,False,0,,False,False,True,False,,True,Windows.CompositeFont,True,False,0,True,,False,False,0,True,,,
.config,exec,exec3,Microsoft Visual Studio 2022,"""C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\IDE\devenv.exe"" /dde","Open(""%1"")",,,,True,,False,False,0,,False,False,True,False,devenv.exe,False,,False,False,1,True,VisualStudio.config.f12b09fd,True,True,0,True,,application/xml,
.contact,,openwith1,Pick an app,"C:\Windows\system32\OpenWith.exe ""%1""",,yes:shell,,,False,,False,False,0,,False,False,True,False,,True,,False,False,0,True,,False,False,0,True,,text/x-ms-contact,
.coverage,,exec3,Microsoft Visual Studio 2022,"""C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\IDE\devenv.exe"" /dde","Open(""%1"")",,,,False,,False,False,0,,False,False,True,False,,True,,False,False,1,False,VisualStudio.coverage.f12b09fd,True,False,0,True,,application/xml,
.cpl,,exec3,Windows Control Panel,"C:\Windows\System32\control.exe ""%1"",%*",,,,,False,,False,False,0,,False,False,True,False,,True,cplfile,False,False,0,True,,False,False,0,True,{098f2470-bae0-11cd-b579-08002b30bfeb},,
